Seq,Occupation,Definition,Industry,Future Skill? ,Career Pathway,Competencies,Core Skills,Certifications (Govt offers),Certifications (External),Technologies,Soft Skills,Source,ANZSCO,ESCO Code,One Net Code
1,Chief Executives and Managing Directors,A chief executive officer (CEO) or managing director is the top-ranking corporate officer responsible for the management of an organization.,General Category,TBC,"Managing Director, Executive Director, Chief Operating Officer, President, Chief Executive Officer","Determining objectives, strategies, policies and programs for organisations,Providing overall direction and management to organisations,Authorising material, human and financial resources to implement organisational policies and programs,Monitoring and evaluating performance of organisations against organisational objectives and strategies,Consulting with senior subordinate staff and reviewing recommendations and reports,Preparing, or arranging for the preparation of, reports, budgets and forecasts and presenting them to governing bodies,Representing the organisation at official occasions, in negotiations, at conventions, seminars, public hearings and forums, and liaising between areas of responsibility,Selecting and approving the selection of senior staff,Ensuring the organisation complies with company laws and other relevant legislation","Financial Management, Strategic Planning, Data Analysis, Business Analysis, Operations Analysis","Graduate diploma,Advanced diploma","Certified Chief Executive Officer (CCEO), Australian Institute of Company Directors (AICD) Company Directors Course, Harvard Business School Online Executive Education Certificate, Stanford Graduate School of Business Executive Program, Chartered Management Consultant (ChMC), Certified Manager (CM)","CEO Software, AI-enabled software platforms, Business intelligence tools, Data analytics, Project management software, Cloud computing, Agentic AI","Communication, Emotional Intelligence, Good Judgment, Conflict Resolution, Adaptability",JSA,111111,Not Found,11-1011.00
2,General Managers,"A general manager is responsible for overseeing a department or company operations, managing staff, budgets, and marketing, with the goal of improving efficiency and profitability.",Information Media and Telecommunications,TBC,"Assistant General Manager, General Manager, Chief Executive Officer, President","Planning policy, and setting standards and objectives for organisations,Providing day-to-day direction and management of organisations, and directing and endorsing policy to fulfil objectives, achieve specific goals, and maximise profit and efficiency,Assessing changing situations and responding accordingly by issuing commands and directives to subordinate staff,Consulting with immediate subordinates and departmental heads on matters such as methods of operation, equipment requirements, finance, sales and human resources,Authorising the funding of major policy implementation programs,Representing the organisation at official occasions, in negotiations, at conventions, seminars, public hearings and forums, and liaising between areas of responsibility,Preparing, or arranging for the preparation of, reports, budgets and forecasts, and presenting them to governing bodies,Selecting and managing the performance of senior staff,May undertake responsibility for some or all of accounting, sales, marketing, human resources and other specialist operations","Financial management, budgeting, forecasting, cost control, operations management","Graduate diploma,Graduate certificate,Advanced diploma,Diploma","PMP, Certified Manager (CM), Certified in Management (CIM)","Project Management Software, Customer Relationship Management (CRM) Systems, Business Intelligence (BI) Tools, Enterprise Resource Planning (ERP) Software, Communication and Collaboration Tools, Financial Management Software, Marketing Automation Platforms","Leadership, Effective Communication, Emotional Intelligence, Strategic Thinking, Problem-Solving",JSA,Not Found,Not Found,Not Found
3,Legislators,"Develop, introduce, or enact laws and statutes at the local, tribal, state, or federal level.",General Category,TBC,"Staff Assistant, Legislative Assistant, Deputy Legislative Counsel (or similar title, e.g., Performance Auditor, Lead Auditor), Principal Deputy (or similar supervisory/management role, e.g., Audit Supervisor, Audit Manager), Leadership Positions (e.g., President of the Senate, Speaker of the House)","Developing national, state, territory or local government policy, and formulating, amending and repealing legislation and by-laws ,Helping constituents with a range of problems particularly with regard to matters concerning government and local agencies ,Investigating matters of concern to the public and to particular persons and groups ,Introducing proposals for government action and representing public and electoral interests ,Issuing policy directions to government departments and exercising control over local government authorities ,Attending community functions and meetings of local groups to provide service to the community, gauge public opinion and provide information on government plans ,May serve as a member on parliamentary committees and inquiries ,May present petitions on behalf of concerned groups","Legislative knowledge, Senate knowledge, Political judgement, Analyzing proposed legislation, Formulating positions and strategies",Diploma,"CPA Parliamentary Service Professional Development Certificate, Certificate in Parliamentary Procedure, Certificate in Legislative Drafting, Public Policy and Administration Certificate, Executive Certificate in Legislative Affairs, Advanced Diploma of Government, Graduate Certificate in Governance and Public Policy","Data integrity, system security, disaster recovery procedures, IT budgets, IT contracts, procurement, website development","Interpersonal skills, Communication, Adaptability, Initiative, Organization",JSA,Not Found,Not Found,11-1031.00
4,Aquaculture Farmers,"Aquaculture farmers breed and rear fish or shellfish in controlled environments like ponds, tanks, cages, or nets, primarily for food.","Agriculture, Forestry and Fishing",TBC,"Internship/Apprenticeship, Entry-level job on an aquaculture farm, Aquaculture Farmer, Farm Manager/Supervisor, Aquaculture Consultant/Business Owner/Researcher","Planning and coordinating the operation of hatcheries to produce fish fry, seed oysters, crayfish, marron and prawns taking into account environmental and market factors,Monitoring the environment to maintain optimal growing conditions,Identifying and controlling environmental toxins and diseases,Monitoring stock growth rates to determine when to harvest,Transporting fish, crayfish, marron, prawns and sticks of seed oysters to new tanks, ponds, cages and floating net pens,Directing and overseeing the harvesting, grading and packaging of fish, oysters and other aquatic stock,Organising the sale, purchase and transportation of fish stock,Maintaining and evaluating records of farming activities, monitoring market activity and planning production accordingly,Managing business capital including budgeting, taxation, debt and loan management,May select, train and supervise staff and contractors","knowledge of fish biology including nutrition, diseases and breeding cycles, cleaning tanks, maintaining equipment, minor repairs, sampling water and analysing data","Diploma,Certificate IV","SFI50119: Diploma of Aquaculture, SFI40219: Certificate IV in Seafood Post Harvest Operations, AHC52122: Diploma of Permaculture, Certificate of Aquaculture, Best Aquaculture Practices (BAP) certification, Aquaculture Stewardship Council (ASC) certification","Recirculating Aquaculture Systems (RAS), offshore cage farming, biofloc technology, IoT devices, AI tools, underwater cameras","Communication, adaptability, attention to detail, teamwork, problem-solving",JSA,121111,6221.3,11-9013.00
5,Crop Farmers,"A crop farmer grows plants for food, animal feed, fuel, or industrial use, managing all steps from soil preparation and planting to watering, fertilizing, and harvesting.","Agriculture, Forestry and Fishing",TBC,"Crop Farmer, Agricultural Crop Farm Manager, Crop Management Consultant","Planning and coordinating the production and marketing of crops, such as grain, cotton, sugar cane, fruit and nuts, vegetables, turf and flowers, from soil preparation to harvest taking into account environmental and market factors,Selecting and planting seeds, seedlings and bulbs, and grafting new varieties to root stocks,Maintaining crop production by cultivating, de-budding and pruning, and maintaining optimal growing conditions,Organising and conducting farming operations, such as collecting, storing, grading and packaging produce, and organising the sale, purchase and despatch of produce,Directing and overseeing general farming activities such as fertilising and pest and weed control,Maintaining farm buildings, fences, equipment and water supply systems,Maintaining and evaluating records of farming activities, monitoring market activity, and planning crop preparation and production to meet contract requirements and market demand,Managing business capital including budgeting, taxation, debt and loan management,May select, train and supervise staff and contractors","Soil testing and nutrient management, Irrigation system operation, Pest and weed control methods, Crop rotation and yield optimisation, Farm machinery operation and maintenance","Diploma,Certificate IV","Certified Professional Agronomist, Certified Crop Advisor, Organic Certification, GLOBALG.A.P. Certification, Regenerative Organic Certified, Accredited Agricultural Consultant","Precision agriculture, GPS technology, Drones/UAS, Robotics/Automation, Variable-rate technology (VRT), Remote sensing, AI-driven crop recognition","Communication, Problem-Solving, Adaptability, Collaboration, Teamwork",JSA,121111,6114.1,11-9013.00
6,Livestock Farmers,"Livestock farmers raise animals such as beef cattle, dairy cows, and poultry for meat, milk, and egg production, managing their feeding, nutrition, and health.","Agriculture, Forestry and Fishing",TBC,"Farm Hand, Assistant Livestock Manager, Livestock Manager, Owner/Operator","Breeding and raising livestock for the production of honey, meat, milk, skins, eggs and wool,Monitoring and maintaining the health and condition of livestock,Providing pastures and fodder to maintain appropriate nutritional levels,Moving livestock to optimise feeding opportunities,Organising and conducting farming operations such as catching, drenching and milking livestock, sterilising machines, and collecting, grading and packaging produce,Directing and overseeing general farming activities such as maintaining pens, sheds and cages, fertilising, controlling pests and weeds, and growing fodder,Maintaining fences, equipment and water supply systems,Organising the sale, purchase and transportation of livestock and produce,Maintaining and evaluating records of farming activities, monitoring market activity and planning production accordingly,Managing business capital including budgeting, taxation, debt and loan management,May select, train and supervise staff and contractors","Animal restraint, Taking and evaluating vital signs, Basic wound care, Ruminant hoof care, Calculate dosages of vaccines, dewormers, and antibiotics","Diploma,Certificate III","Diploma of Agribusiness Management, Diploma of Agriculture, Certificate III in Agriculture, G.A.P. Certification, Organic Certification, Beef Quality Assurance (BQA) Certification, Certificate IV in Agribusiness","Imaging technology, Autonomous drone technology, Probiotic supplements, Non-invasive spectroscopy technology, Robotics, IoT (Internet of Things), Sexed semen","Communication, Problem-Solving, Adaptability, Teamwork, Dependability",JSA,121111,9212.4,11-9013.00
7,Mixed Crop and Livestock Farmers,Mixed Crop and Livestock Farmers combine crop cultivation and livestock rearing on the same farm.,"Agriculture, Forestry and Fishing",TBC,"Farm Hand, Assistant Farmer/Rancher, Farmer/Rancher, Farm Manager/Agricultural Manager","Planning and coordinating the production and marketing of crops and livestock,Breeding and raising livestock for the production of meat, wool, skins, milk or eggs, and growing grain, seed crops, vegetables, fruit or nuts,Monitoring and maintaining the health and condition of livestock,Providing pastures and fodder to maintain appropriate nutritional levels,Selecting and purchasing seed for planting, planning and implementing breeding programs,Directing and overseeing general farming activities such as fertilising, and pest and weed control,Maintaining farm buildings, fences, equipment and water supply systems,Organising the sale, purchase and transportation of livestock and produce,Maintaining and evaluating records of farming activities, monitoring market activity and planning production accordingly,Managing business capital, monitoring market activity and planning production accordingly,May select, train and supervise staff and contractors","Soil Science and Nutrient Management, Precision Agriculture & Technology Integration, Pest Management, Cropping Systems and Plant Science, Agricultural Equipment Operation and Maintenance","Diploma,Certificate IV","National Certificate: Mixed Farming Systems (NQF Level 2), Certificate IV in Agriculture AHC40122, Certificate I in Agriculture AHC10222, Good Agricultural Practices (GAP) Certification, Tractor Driver Certification, Occupational Certificate: Firefighting, Store and Control Agrochemical Products Effectively and Responsibly Certification","Precision agriculture technology, Farm management software, Digital agriculture, Soil test kits, Cattle scanning systems, Drones, Autonomous tractors","Creativity, Teamwork, Dependability, Problem-solving, Adaptability",JSA,121111,6130.2,11-9013.00
8,"Advertising, Public Relations and Sales Manager","Plans, organizes, directs, controls and coordinates advertising, public relations, sales and marketing activities within organizations.",Public Administration and Safety,TBC,"Assistant Manager, Specialist Manager, Senior Manager, Director, Vice President","Formulating and implementing policies and plans for advertising, public relations, sales and marketing in consultation with other managers,Directing the development of initiatives for new products, marketing and advertising campaigns,Organising and controlling sales activities by setting product mix, geographical sales areas and customer service standards,Directing merchandising methods and distribution policy by coordinating the work of salespersons, and organising agents and distributors,Directing sales methods and arrangements by setting prices and credit arrangements","Media relationships, Social media platforms, Data analysis, Digital marketing, Content management",Not Found,"Google Skillshop, Certified Digital Marketing Professional (CDMP), Interactive Advertising Bureau (IAB) Digital Media Sales Certification, Certified Public Relations Leader (CPRL), Certified Public Relations Manager (CPRM), Certified Professional Sales Person (CPSP), Certified Professional Sales Leader (CPSL)","Ad Campaign Management and Optimization, Media Monitoring and Analysis, Customer Relationship Management (CRM) software, Analytics software, Press Release Distribution tools, Social Media software","Emotional Intelligence, Public Speaking, Communication, Flexibility, Strategic Thinking",JSA,225311,1222.1.2,11-2032.00
9,Corporate Services Managers,"Corporate Services Managers plan, organise, direct, control and coordinate the overall administration of organisations.",General Category,TBC,"Administration Officer, Business Services Officer, Administration Manager, Business Services Manager, Corporate Services Manager, Corporate Services Director","Providing high level administrative, strategic planning and operational support, research and advice to senior management on administrative matters such as staff management, financial planning, facility management and information services,Developing and managing the organisation's administrative, financial, physical and staff resources,Developing and implementing administrative, financial and operational procedural statements and guidelines for use by staff in the organisation,Analysing complex resource management issues and initiatives that affect the organisation, and preparing associated reports, correspondence and submissions,Providing information and support for the preparation of financial reports and budgets,Leading, managing and developing administrative staff to ensure smooth business operations and the provision of accurate and timely information,Representing the organisation in negotiations, and at conventions, seminars, public hearings and forums, and promoting existing and new programs and policies","Accounting, Microsoft Excel, Financial Statements, Bookkeeping, Project Management","Graduate diploma,Advanced diploma,Certificate IV","Certified Manager (CM), Certified Public Accountant (CPA), Project Management Professional (PMP), Certified Facilities Manager (CFM), Certificate IV in Business Administration, Diploma of Business (Operational Excellence), Diploma of Leadership and Management","Professional services automation (PSA) software, enterprise resource planning (ERP) systems, project management software, customer relationship management (CRM) software, business intelligence (BI) tools, collaboration software, cloud computing platforms","Communication skills, Critical thinking skills, Conflict-resolution skills, Adaptability, Delegation skills",JSA,111211,2412.3,Not Found
10,Finance Managers,"Financial managers are responsible for the financial health of an organization, creating reports, directing investment activities, and developing long-term financial plans.",Financial and Insurance Services,TBC,"Staff Accountant or Financial Analyst, Financial Controller or Internal Auditor, Financial Manager or Bank Manager or Credit Manager, City Comptroller or City Treasurer","Determining, implementing, monitoring, reviewing and evaluating budgetary and accounting strategies, policies and plans in consultation with other managers,Providing financial information and interpreting the implications for business performance and funding needs,Coordinating the development, implementation and monitoring of accounting systems,Directing the preparation of financial reports summarising and forecasting the organisation's financial position such as income statements, balance sheets and analyses of future earnings and income,Assessing capital finance proposals and the financial status of operational projects,Advising on investment strategies, sources of funds and the distribution of earnings,Delivering long range profit forecasts, budgeting and financial reporting,Ensuring compliance with financial legislation and standards","Financial Analysis and Forecasting, Strategic Thinking, Risk Management, Communication and Leadership, Regulatory Knowledge",Diploma,"Certified Financial Planner (CFP®), Chartered Financial Analyst (CFA®), Certified Management Accountant (CMA), Master Financial Planner (MFP), Chartered Financial Manager (ChFM), Certificate IV in Business Finance, Diploma of Financial Management","Financial planning software, CRM, portfolio management, risk assessment, data analytics, digital platforms, mobile apps","Communication, Critical Thinking, Problem-Solving, Ethical Judgment, Adaptability",JSA,132211,2411.1.11,Not Found
